id,client_id,product_category,product_company,amount,date_start,date_end
929153,148984,29,Netflix,3354,2026-01-02,
929154,402918,4,Unknown,4317,2026-01-02,
929155,364712,29,Apple Music,4595,2026-01-02,
929156,220151,29,Spotify,865,2026-01-02,
929157,555808,29,Unknown,4488,2026-01-02,
929158,233767,29,Яндекс.Музыка,2426,2026-01-02,
929159,748663,29,Spotify,3030,2026-01-02,
929160,803550,4,Spotify,296,2026-01-02,
929161,236330,4,Spotify,2029,2026-01-02,
929162,580754,4,YouTube Music,3681,2026-01-02,
929163,401648,29,Яндекс.Музыка,707,2026-01-02,
929164,788519,29,Spotify,3371,2026-01-02,
929165,113986,29,Apple Music,1246,2026-01-02,
929166,686146,4,Boom,4381,2026-01-02,
929167,229312,29,Spotify,3496,2026-01-02,
929168,112666,29,YouTube Music,2610,2026-01-02,
929169,400804,4,Unknown,1893,2026-01-02,
929170,234633,29,Яндекс.Музыка,758,2026-01-02,
929171,388998,4,YouTube Music,2910,2026-01-02,
929172,950937,4,Spotify,1468,2026-01-02,
929173,728776,4,Яндекс.Музыка,2085,2026-01-02,
